date	Arab World	East Asia & Pacific	Europe & Central Asia	Fragile and conflict affected situations	Heavily indebted poor countries (HIPC)	IBRD only	IDA & IBRD total	IDA only	Latin America & Caribbean	Least developed countries: UN classification	Low income	Low & middle income	Middle East & North Africa	Middle income	South Asia	Sub-Saharan Africa	Upper middle income	World
2004	71.1753234863281	91.86688232421879	96.9810409545898	64.8756790161133	55.154899597168	84.30979919433591	79.6465072631836	57.6109199523926	89.9926071166992	55.992618560790994	56.2558708190918	79.4039611816406	74.8572082519531	81.3476181030273	60.8724594116211	60.5120315551758	91.8676605224609	82.4533996582031
2005	71.7514190673828	92.2488632202148	96.97740936279301	65.0893936157227	54.3778800964355	84.40899658203129	79.6309509277344	57.446868896484396	90.4701919555664	55.75614929199221	55.5100593566895	79.3897476196289	75.3109588623047	81.4165496826172	60.642940521240206	59.523078918457	92.20535278320308	82.4101486206055
2006	69.65244293212889	92.6714096069336	97.1338424682617	63.217350006103494	53.2385597229004	84.40248107910159	79.5772476196289	56.92008972167971	90.4741363525391	55.108699798584006	55.3279685974121	79.3279113769531	74.5766372680664	81.3876876831055	60.8130989074707	58.358978271484396	92.3919525146484	82.412467956543
2007	70.13626098632811	93.6602935791016	97.1341934204102	63.499149322509794	54.593391418457	85.47662353515629	80.317741394043	56.627410888671896	91.04754638671879	54.547210693359396	56.41361999511721	80.0804901123047	75.0918273925781	82.1375198364258	61.9781684875488	58.4988784790039	93.3484878540039	83.0000228881836
2008	71.0801620483398	93.9331588745117	97.24844360351558	63.0991287231445	54.1157302856445	85.83152770996091	80.7690811157227	58.27619934082029	91.31507110595699	56.2747383117676	55.717159271240206	80.5375900268555	75.7537002563477	82.7245635986328	63.6383285522461	58.0831184387207	93.5874404907227	83.4105987548828
2009	69.80551910400389	94.2249984741211	97.4167098999023	61.1203689575195	54.7814598083496	86.23973846435551	81.1748428344727	58.8190689086914	91.6928176879883	57.180980682373	56.8265800476074	80.9419708251953	75.67649841308591	83.0966110229492	64.3376617431641	59.2512397766113	93.83985137939449	83.7204132080078
2010	70.76441	94.26817	97.58114	61.55183	55.25037	86.82038	81.67029000000001	59.222669999999994	91.66744	57.47995	56.9209	81.44955999999999	76.49271999999999	83.67154000000001	66.01901	59.56398000000001	93.9115	84.1044
2011	72.59385999999999	94.07540999999999	97.89486	61.16862	57.37311999999999	87.17826	81.93721	59.44031	92.23425	57.66528	58.78024	81.72388000000001	77.26692	83.82949	66.51724	61.194219999999994	94.23170999999999	84.37161
2012	73.7217	94.31349	97.99824	61.362519999999996	58.83455	87.51869	82.35303	60.24365	92.4574	58.57303	60.13292	82.14667	77.88424	84.19360999999999	67.2685	62.49471	94.37705	84.72603000000001
2013	73.94749	94.42047	98.06956	61.16073000000001	59.044990000000006	87.73278	82.56062	60.99984	92.50325	59.38629	60.17592	82.36124000000001	78.21723	84.45217	68.01312	62.81559	94.41675	84.90292
2014	74.61962	94.91781	98.11636999999999	61.86611	59.907680000000006	88.12764	82.97848	61.75931	92.94435	60.155969999999996	60.90361	82.78633	78.74318000000001	84.87823	68.73481	63.486869999999996	94.6637	85.28372
2015	75.11764000000001	95.13715	98.16487	62.22513000000001	60.39487	88.43664	83.34816	62.8935	93.12883000000001	61.41421	61.27429	83.1604	79.4081	85.28447	69.65735	64.08716	94.83118	85.59638000000001
2016	73.69399	95.25384	98.25469	62.50688	61.19566	88.5859	83.71072	64.74183000000001	93.59100000000001	63.42245	61.93147	83.52819000000001	77.93316	85.65751999999999	70.99924	64.78863	95.01176	85.89491
2017	74.47393000000001	95.46465	98.27194	63.33	62.12908	88.8029	83.98566	65.47285	93.70474	64.2174	62.75316	83.81031	78.83495	85.92126999999999	71.69524	65.05196	95.02833000000001	86.12593000000001
2018	74.5966	95.6076	98.33417	63.75516	62.6266	89.05044000000001	84.19382	65.99904000000001	93.86706	64.81693	63.183969999999995	84.02266	78.96279	86.14846999999999	72.25239	65.57706	95.18383	86.30100999999999
